Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2023-11-30,UAL,3486,EWR,PIT,C,C86,Main,A10,false,,2023-11-30T20:29,2023-11-30T20:23,2023-11-30T20:39,2023-11-30T21:10,2023-11-30T21:42,2023-11-30T22:07,2023-11-30T22:09,2023-11-30T22:13,Embraer 175,N758YX,,,,,,,2201ef91-f65c-4461-b580-af94d2510345,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,55394d7e-5085-44dc-8919-ae570e6305b3,,36728d5b-40cd-46ec-93ba-8822376b565d
2023-12-18,AAL,349,PIT,CLT,Main,B34,Main,C6,false,,2023-12-18T05:00,2023-12-18T04:53,2023-12-18T05:10,2023-12-18T05:05,2023-12-18T06:22,2023-12-18T06:11,2023-12-18T06:45,2023-12-18T06:20,Airbus A321,N187US,,,,,,,7c7e0511-ae70-43b0-a2ed-d6a33bdcdee4,ae1fc6a5-c42d-4e70-ba63-d641d248d270,55394d7e-5085-44dc-8919-ae570e6305b3,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2023-12-18,AAL,2428,CLT,SFO,Main,B6,1,B27,false,,2023-12-18T09:34,2023-12-18T09:32,2023-12-18T09:44,2023-12-18T10:07,2023-12-18T11:59,2023-12-18T12:30,2023-12-18T12:37,2023-12-18T12:34,Airbus A321,N568UW,,,,,,,e6e226ae-0363-4b9c-aa2f-24d9218191e6,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-01-16,AAL,2414,SFO,PHX,1,B27,4,A4,false,,2024-01-16T09:05,2024-01-16T09:03,2024-01-16T09:15,2024-01-16T09:19,2024-01-16T11:52,2024-01-16T11:45,2024-01-16T12:06,2024-01-16T11:55,Boeing 737-800,N811NN,,,,,,,23672179-9b7b-4ebf-832b-72aeada3d1e1,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,a2f06eec-440b-48dd-9096-f9051e8a07ef,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2024-01-16,AAL,366,PHX,ORD,4,A7,3,H17,false,,2024-01-16T13:16,2024-01-16T14:43,2024-01-16T13:26,2024-01-16T14:58,2024-01-16T17:35,2024-01-16T18:59,2024-01-16T17:45,2024-01-16T19:11,Airbus A321,N917UY,,,,,,,1d855157-369b-47b6-b61c-544cf011ff97,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a2f06eec-440b-48dd-9096-f9051e8a07ef,a5eff314-18e7-4c87-bd38-0131882f1b8d,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-01-16,AAL,1173,ORD,PIT,3,K16,Main,K16,false,,2024-01-16T20:22,2024-01-16T22:57,2024-01-16T20:32,2024-01-17T00:25,2024-01-16T22:31,2024-01-17T02:25,2024-01-16T22:46,2024-01-17T02:29,Airbus A319,N9026C,,,,,,,22d3dc38-355a-4b91-8084-71547de0bab1,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a5eff314-18e7-4c87-bd38-0131882f1b8d,55394d7e-5085-44dc-8919-ae570e6305b3,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2024-01-25,DAL,5800,PIT,BOS,Main,D88,A,A19,false,,2024-01-25T06:12,2024-01-25T06:09,2024-01-25T06:22,2024-01-25T06:24,2024-01-25T07:25,2024-01-25T07:29,2024-01-25T08:00,2024-01-25T07:41,Embraer 175,N236JQ,,,,,,,618cd4b8-3664-494b-bb71-00f342b370f6,a8765091-d043-44b1-936c-d217bb519e56,55394d7e-5085-44dc-8919-ae570e6305b3,813ec62f-c303-44d9-a041-a4434d6fd652,,36728d5b-40cd-46ec-93ba-8822376b565d
2024-01-29,DAL,5814,BOS,PIT,A,A19,Main,D84,false,,2024-01-29T18:20,2024-01-29T18:32,2024-01-29T18:30,2024-01-29T19:23,2024-01-29T19:38,2024-01-29T20:39,2024-01-29T20:31,2024-01-29T20:42,Embraer 175 E2,N227JQ,,,,,,,efb3d1d6-e51e-4c7c-9839-3925a7024729,a8765091-d043-44b1-936c-d217bb519e56,813ec62f-c303-44d9-a041-a4434d6fd652,55394d7e-5085-44dc-8919-ae570e6305b3,,81f7772e-0fe5-4114-aa70-91bbcfd84f3e
2024-02-15,UAL,2478,PIT,SFO,Main,A2,3,F1,false,,2024-02-15T19:05,2024-02-15T19:57,2024-02-15T19:15,2024-02-15T20:19,2024-02-15T22:00,2024-02-15T22:37,2024-02-15T21:59,2024-02-15T22:42,Airbus A320,N412UA,,,,,,,eb7f42f7-7158-4a56-a4e8-a174c8c37bc0,b57b4c86-4724-48f1-80be-d7de4036004a,55394d7e-5085-44dc-8919-ae570e6305b3,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2024-02-19,UAL,476,SFO,ORD,3,F15,1,C16,false,,2024-02-19T23:00,2024-02-19T23:03,2024-02-19T23:10,2024-02-19T23:22,2024-02-20T04:33,2024-02-20T04:35,2024-02-20T05:13,2024-02-20T04:42,Boeing 777-200 ER,N212UA,,,,,,,a70b25cf-595c-4efd-8d09-753c424c2301,b57b4c86-4724-48f1-80be-d7de4036004a,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,a5eff314-18e7-4c87-bd38-0131882f1b8d,,a0f171e1-86df-426a-8922-e460c0660ae6
2024-02-20,UAL,1481,ORD,PIT,2,E8,Main,A2,false,,2024-02-20T07:20,2024-02-20T07:11,2024-02-20T07:30,2024-02-20T07:35,2024-02-20T09:43,2024-02-20T09:41,2024-02-20T09:48,2024-02-20T09:45,Boeing 737-900ER,N38479,,,,,,,5318f366-775b-4590-af09-daf3b4bbe49a,b57b4c86-4724-48f1-80be-d7de4036004a,a5eff314-18e7-4c87-bd38-0131882f1b8d,55394d7e-5085-44dc-8919-ae570e6305b3,,24012541-435d-4a27-af8a-4791336f1965
2024-03-06,DAL,2944,PIT,ATL,Main,D76,S,T7,false,,2024-03-06T15:35,2024-03-06T15:55,2024-03-06T15:45,2024-03-06T16:10,2024-03-06T17:00,2024-03-06T17:28,2024-03-06T17:24,2024-03-06T17:33,Boeing 757-200,N6701,,,,,,,d5a5250d-6d6f-4f43-be97-e841a892d933,a8765091-d043-44b1-936c-d217bb519e56,55394d7e-5085-44dc-8919-ae570e6305b3,6f0c1d11-cfef-4b33-b462-90379270f593,,1c0606be-5187-4c87-ae79-bda1f856393e
2024-03-06,DAL,736,ATL,SFO,S,C37,2,C8,false,,2024-03-06T18:05,2024-03-06T18:05,2024-03-06T18:15,2024-03-06T18:19,2024-03-06T20:07,2024-03-06T20:11,2024-03-06T20:38,2024-03-06T20:20,Airbus A321neo,N522DA,,,,,,,e74a8c2b-46e6-4c9c-b914-e6f6d9d2a4bd,a8765091-d043-44b1-936c-d217bb519e56,6f0c1d11-cfef-4b33-b462-90379270f593,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2024-03-13,UAL,1665,SFO,BOS,3,F20,B,B25,false,,2024-03-13T23:25,2024-03-14T01:20,2024-03-13T23:35,2024-03-14T01:37,2024-03-14T08:04,2024-03-14T09:54,2024-03-14T08:06,2024-03-14T09:59,Boeing 757-200,N21108,,,,,,,f393bd69-8e3f-4358-b9cb-bde0d7f09d01,b57b4c86-4724-48f1-80be-d7de4036004a,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,813ec62f-c303-44d9-a041-a4434d6fd652,,1c0606be-5187-4c87-ae79-bda1f856393e
